,ObservationDate,total_infected,total_dead,total_recovered,deaths_per_day,infected_per_day,recovered_per_day,infected
0,2020-03-02,2.0,0.0,0.0,0.0,2.0,0.0,2.0
1,2020-03-03,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2,2020-03-04,2.0,0.0,0.0,0.0,0.0,0.0,2.0
3,2020-03-05,2.0,0.0,0.0,0.0,0.0,0.0,2.0
4,2020-03-06,4.0,0.0,0.0,0.0,2.0,0.0,4.0
5,2020-03-07,4.0,0.0,0.0,0.0,0.0,0.0,4.0
6,2020-03-08,6.0,0.0,0.0,0.0,2.0,0.0,6.0
7,2020-03-09,19.0,0.0,0.0,0.0,13.0,0.0,19.0
8,2020-03-10,27.0,0.0,2.0,0.0,8.0,2.0,25.0
9,2020-03-11,34.0,1.0,2.0,1.0,7.0,0.0,31.0
10,2020-03-12,34.0,1.0,2.0,0.0,0.0,0.0,31.0
11,2020-03-13,69.0,4.0,2.0,3.0,35.0,0.0,63.0
12,2020-03-14,96.0,5.0,8.0,1.0,27.0,6.0,83.0
13,2020-03-15,117.0,5.0,8.0,0.0,21.0,0.0,104.0
14,2020-03-16,134.0,5.0,8.0,0.0,17.0,0.0,121.0
15,2020-03-17,172.0,5.0,8.0,0.0,38.0,0.0,159.0
16,2020-03-18,227.0,19.0,11.0,14.0,55.0,3.0,197.0
17,2020-03-19,311.0,25.0,11.0,6.0,84.0,0.0,275.0
18,2020-03-20,369.0,32.0,15.0,7.0,58.0,4.0,322.0
19,2020-03-21,450.0,38.0,15.0,6.0,81.0,0.0,397.0
20,2020-03-22,514.0,48.0,29.0,10.0,64.0,14.0,437.0
21,2020-03-23,579.0,49.0,30.0,1.0,65.0,1.0,500.0
22,2020-03-24,686.0,55.0,30.0,6.0,107.0,0.0,601.0
23,2020-03-25,790.0,58.0,31.0,3.0,104.0,1.0,701.0
24,2020-03-26,893.0,78.0,35.0,20.0,103.0,4.0,780.0
25,2020-03-27,1046.0,87.0,46.0,9.0,153.0,11.0,913.0
26,2020-03-28,1155.0,102.0,59.0,15.0,109.0,13.0,994.0
27,2020-03-29,1285.0,114.0,64.0,12.0,130.0,5.0,1107.0
28,2020-03-30,1414.0,122.0,75.0,8.0,129.0,11.0,1217.0
29,2020-03-31,1528.0,136.0,81.0,14.0,114.0,6.0,1311.0
30,2020-04-01,1677.0,157.0,103.0,21.0,149.0,22.0,1417.0
31,2020-04-02,1790.0,170.0,112.0,13.0,113.0,9.0,1508.0
32,2020-04-03,1986.0,181.0,134.0,11.0,196.0,22.0,1671.0
33,2020-04-04,2092.0,191.0,150.0,10.0,106.0,16.0,1751.0
34,2020-04-05,2273.0,198.0,164.0,7.0,181.0,14.0,1911.0
